+------------------------------------------------------------------------+--------+
| displayname                                                            | size   |
+------------------------------------------------------------------------+--------+
| Windows-Server-2019-Standard-Edition-VM-Gen2-2022.06.14-0              | 48128  |
| Windows-Server-2019-Standard-Edition-VM-Gen2-2022.05.10-0              | 48128  |
| Windows-Server-2019-Standard-Edition-VM-Gen2-2022.04.26-0              | 48128  |
| Windows-Server-2019-Standard-Edition-VM-E3-2021.03.17-0                | 262144 |
| Windows-Server-2019-Standard-Edition-VM-E3-2021.03.09-0                | 48128  |
| Windows-Server-2019-Standard-Edition-VM-2022.06.14-0                   | 48128  |
| Windows-Server-2019-Standard-Edition-VM-2022.05.20-0                   | 48128  |
| Windows-Server-2019-Standard-Edition-VM-2022.04.26-0                   | 48128  |
| Windows-Server-2019-Standard-Core-VM-2022.06.14-0                      | 48128  |
| Windows-Server-2019-Standard-Core-VM-2022.05.10-0                      | 48128  |
| Windows-Server-2019-Standard-Core-VM-2022.04.26-0                      | 48128  |
| Windows-Server-2019-Datacenter-Edition-BM-X9-2022.06.21-0              | 48128  |
| Windows-Server-2019-Datacenter-Edition-BM-X9-2022.05.10-0              | 48128  |
| Windows-Server-2019-Datacenter-Edition-BM-X9-2022.04.26-0              | 48128  |
| Windows-Server-2019-Datacenter-Edition-BM-E4-2022.06.21-0              | 48128  |
| Windows-Server-2019-Datacenter-Edition-BM-E4-2022.02.25-0              | 48128  |
| Windows-Server-2019-Datacenter-Edition-BM-E4-2022.01.11-0              | 48128  |
| Windows-Server-2019-Datacenter-Edition-BM-E3-2022.06.21-0              | 48128  |
| Windows-Server-2019-Datacenter-Edition-BM-E3-2022.05.10-0              | 48128  |
| Windows-Server-2019-Datacenter-Edition-BM-E3-2022.04.26-0              | 48128  |
| Windows-Server-2016-Standard-Edition-VM-Gen2-2021.03.17-0              | 262144 |
| Windows-Server-2016-Standard-Edition-VM-Gen2-2021.02.13-0              | 262144 |
| Windows-Server-2016-Standard-Edition-VM-Gen2-2020.12.16-0              | 262144 |
| Windows-Server-2016-Standard-Edition-VM-E3-2021.03.17-0                | 262144 |
| Windows-Server-2016-Standard-Edition-VM-E3-2021.03.04-0                | 262144 |
| Windows-Server-2016-Standard-Edition-VM-B1-2021.03.18-0                | 262144 |
| Windows-Server-2016-Standard-Edition-VM-B1-2021.02.13-0                | 262144 |
| Windows-Server-2016-Standard-Edition-VM-2022.06.21-0                   | 48128  |
| Windows-Server-2016-Standard-Edition-VM-2022.05.10-0                   | 48128  |
| Windows-Server-2016-Standard-Edition-VM-2022.04.26-0                   | 48128  |
| Windows-Server-2016-Standard-Core-VM-2022.06.14-0                      | 48128  |
| Windows-Server-2016-Standard-Core-VM-2022.05.10-0                      | 48128  |
| Windows-Server-2016-Standard-Core-VM-2022.04.26-0                      | 48128  |
| Windows-Server-2016-Datacenter-Edition-BM-X9-2022.06.21-0              | 48128  |
| Windows-Server-2016-Datacenter-Edition-BM-X9-2022.05.10-0              | 48128  |
| Windows-Server-2016-Datacenter-Edition-BM-X9-2022.04.26-0              | 48128  |
| Windows-Server-2016-Datacenter-Edition-BM-Gen2-E2-2022.06.21-0         | 48128  |
| Windows-Server-2016-Datacenter-Edition-BM-Gen2-E2-2022.05.20-0         | 48128  |
| Windows-Server-2016-Datacenter-Edition-BM-Gen2-E2-2022.04.27-0         | 48128  |
| Windows-Server-2016-Datacenter-Edition-BM-Gen2-DenseIO-2022.06.21-0    | 48128  |
| Windows-Server-2016-Datacenter-Edition-BM-Gen2-DenseIO-2022.05.10-0    | 48128  |
| Windows-Server-2016-Datacenter-Edition-BM-Gen2-DenseIO-2022.04.26-0    | 48128  |
| Windows-Server-2016-Datacenter-Edition-BM-Gen2-2022.06.21-0            | 48128  |
| Windows-Server-2016-Datacenter-Edition-BM-Gen2-2022.05.10-0            | 48128  |
| Windows-Server-2016-Datacenter-Edition-BM-Gen2-2022.04.26-0            | 48128  |
| Windows-Server-2012-R2-Standard-Edition-VM-Gen2-E2-2021.03.17-1        | 262144 |
| Windows-Server-2012-R2-Standard-Edition-VM-Gen2-E2-2021.02.13-1        | 262144 |
| Windows-Server-2012-R2-Standard-Edition-VM-Gen2-2021.03.17-0           | 262144 |
| Windows-Server-2012-R2-Standard-Edition-VM-Gen2-2021.02.13-0           | 262144 |
| Windows-Server-2012-R2-Standard-Edition-VM-2022.06.14-0                | 48128  |
| Windows-Server-2012-R2-Standard-Edition-VM-2022.05.10-0                | 48128  |
| Windows-Server-2012-R2-Standard-Edition-VM-2022.01.11-0                | 48128  |
| Windows-Server-2012-R2-Datacenter-Edition-BM-Gen2-E2-2022.06.21-0      | 262144 |
| Windows-Server-2012-R2-Datacenter-Edition-BM-Gen2-E2-2022.05.10-0      | 262144 |
| Windows-Server-2012-R2-Datacenter-Edition-BM-Gen2-E2-2022.01.11-0      | 262144 |
| Windows-Server-2012-R2-Datacenter-Edition-BM-Gen2-DenseIO-2022.06.21-0 | 262144 |
| Windows-Server-2012-R2-Datacenter-Edition-BM-Gen2-DenseIO-2022.05.10-0 | 262144 |
| Windows-Server-2012-R2-Datacenter-Edition-BM-Gen2-DenseIO-2022.01.11-0 | 262144 |
| Windows-Server-2012-R2-Datacenter-Edition-BM-Gen2-2022.06.21-0         | 262144 |
| Windows-Server-2012-R2-Datacenter-Edition-BM-Gen2-2022.05.10-0         | 262144 |
| Windows-Server-2012-R2-Datacenter-Edition-BM-Gen2-2022.01.11-0         | 262144 |
| Windows-Server-2012-R2-Datacenter-Edition-BM-2021.02.19-0              | 262144 |
| Windows-Server-2012-R2-Datacenter-Edition-BM-2020.12.15-0              | 262144 |
| Windows-Server-2012-R2-Datacenter-Edition-BM-2020.11.14-0              | 262144 |
| Oracle-Linux-Cloud-Developer-8.5-aarch64-2022.05.22-0                  | 47694  |
| Oracle-Linux-Cloud-Developer-8.5-2022.05.22-0                          | 47694  |
| Oracle-Linux-Cloud-Developer-8.4-aarch64-2021.08.27-0                  | 51200  |
| Oracle-Linux-Cloud-Developer-8.4-aarch64-2021.06.18-0                  | 51200  |
| Oracle-Linux-Cloud-Developer-8.4-2021.08.27-0                          | 51200  |
| Oracle-Linux-Cloud-Developer-8.4-2021.06.21-1                          | 51200  |
| Oracle-Linux-8.6-aarch64-2022.06.30-0                                  | 47694  |
| Oracle-Linux-8.6-aarch64-2022.05.30-0                                  | 47694  |
| Oracle-Linux-8.6-Gen2-GPU-2022.06.30-0                                 | 47694  |
| Oracle-Linux-8.6-Gen2-GPU-2022.05.31-0                                 | 47694  |
| Oracle-Linux-8.6-2022.06.30-0                                          | 47694  |
| Oracle-Linux-8.6-2022.05.31-0                                          | 47694  |
| Oracle-Linux-8.5-aarch64-2022.04.26-0                                  | 47694  |
| Oracle-Linux-8.5-Gen2-GPU-2022.04.25-0                                 | 47694  |
| Oracle-Linux-8.5-2022.04.26-0                                          | 47694  |
| Oracle-Linux-7.9-aarch64-2022.06.30-0                                  | 47694  |
| Oracle-Linux-7.9-aarch64-2022.05.30-0                                  | 47694  |
| Oracle-Linux-7.9-aarch64-2022.04.26-0                                  | 47694  |
| Oracle-Linux-7.9-Gen2-GPU-2022.06.30-0                                 | 47694  |
| Oracle-Linux-7.9-Gen2-GPU-2022.05.31-0                                 | 47694  |
| Oracle-Linux-7.9-Gen2-GPU-2022.04.25-0                                 | 47694  |
| Oracle-Linux-7.9-2022.06.30-0                                          | 47694  |
| Oracle-Linux-7.9-2022.05.31-0                                          | 47694  |
| Oracle-Linux-7.9-2022.04.26-0                                          | 47694  |
| Oracle-Linux-6.10-2022.02.13-1                                         | 47694  |
| Oracle-Linux-6.10-2021.03.17-0                                         | 47694  |
| Oracle-Linux-6.10-2021.02.19-0                                         | 47694  |
| Oracle-Autonomous-Linux-7.9-2022.06-0                                  | 47694  |
